24
5.72756
9.92043
7.01481
2.86378 7.69185e-16 1.08779e-15
-2.22045e-16 4.96022 4.44089e-16
1.43189 2.48011 1.11022e-15
0 0 0
-2.22045e-16 1.65341 2.33827
4.29567 2.48011 2.22045e-16
4.29567 7.44033 0
1.43189 7.44033 -8.88178e-16
2.86378 4.96022 -1.33227e-15
2.86378 6.61362 2.33827
4.29567 4.13351 2.33827
1.43189 4.13351 2.33827
2.86378 1.65341 2.33827
2.86378 3.30681 4.67654
4.29567 0.826703 4.67654
1.43189 0.826703 4.67654
1.43189 9.09373 2.33827
-4.44089e-16 6.61362 2.33827
0 8.26703 4.67654
1.43189 5.78692 4.67654
-4.44089e-16 3.30681 4.67654
4.29567 9.09373 2.33827
4.29567 5.78692 4.67654
2.86378 8.26703 4.67654
